User,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
1,0.995,['Carl Woitschach'],0.708,158648,0.195,0,6KbQ3uYMLKb5jDxLF7wYDD,0.563,10,0.151,-12.428,1,Singende Bataillone 1. Teil,0,1928,0.0506,118.469,0.779,1928
2,0.994,"['Robert Schumann', 'Vladimir Horowitz']",0.379,282133,0.0135,0,6KuQTIu1KoTTkLXKrwlLPV,0.901,8,0.0763,-28.454,1,"Fantasiestücke, Op. 111: Più tosto lento",0,1928,0.0462,83.972,0.0767,1928
3,0.604,['Seweryn Goszczyński'],0.749,104300,0.22,0,6L63VW0PibdM1HDSBoqnoM,0,5,0.119,-19.924,0,Chapter 1.18 - Zamek kaniowski,0,1928,0.929,107.177,0.88,1928
4,0.995,['Francisco Canaro'],0.781,180760,0.13,0,6M94FkXd15sOAOQYRnWPN8,0.887,1,0.111,-14.734,0,Bebamos Juntos - Instrumental (Remasterizado),0,1928-09-25,0.0926,108.003,0.72,1928
5,0.99,"['Frédéric Chopin', 'Vladimir Horowitz']",0.21,687733,0.204,0,6N6tiFZ9vLTSOIxkj8qKrd,0.908,11,0.098,-16.829,1,"Polonaise-Fantaisie in A-Flat Major, Op. 61",1,1928,0.0424,62.149,0.0693,1928
6,0.995,"['Felix Mendelssohn', 'Vladimir Horowitz']",0.424,352600,0.12,0,6NxAf7M8DNHOBTmEd3JSO5,0.911,6,0.0915,-19.242,0,Scherzo a capriccio: Presto,0,1928,0.0593,63.521,0.266,1928
7,0.956,"['Franz Liszt', 'Vladimir Horowitz']",0.444,136627,0.197,0,6O0puPuyrxPjDTHDUgsWI7,0.435,11,0.0744,-17.226,1,"Valse oubliée No. 1 in F-Sharp Major, S. 215/1",0,1928,0.04,80.495,0.305,1928
8,0.988,['Carl Woitschach'],0.555,153967,0.421,0,6OJjveoYwJdIt76y0Pxpxw,0.836,1,0.105,-9.878,1,Per aspera ad astra,0,1928,0.0474,123.31,0.857,1928
9,0.995,"['Francisco Canaro', 'Charlo']",0.683,162493,0.207,0,6OaJ8Bh7lsBeYoBmwmo2nh,0.206,9,0.337,-9.801,0,Moneda Corriente - Remasterizado,0,1928-10-03,0.127,119.833,0.493,1928
10,0.846,['Seweryn Goszczyński'],0.674,111600,0.205,0,6PrZexNb16cabXR8Q418Xc,0,9,0.17,-20.119,1,Chapter 1.3 - Zamek kaniowski,0,1928,0.954,81.249,0.759,1928
11,0.994,"['Sergei Rachmaninoff', 'Vladimir Horowitz']",0.376,590293,0.0719,0,6QBInZBkQNIQYU9gGzT5l4,0.883,10,0.196,-21.849,0,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: I. Allegro agitato - Meno mosso",0,1928,0.0352,141.39,0.0393,1928
12,0.989,"['Frédéric Chopin', 'Vladimir Horowitz']",0.17,85133,0.0823,0,6QIONtzbQCbnmWNwn0H1yT,0.911,10,0.0962,-30.107,0,"Piano Sonata No. 2, Op. 35: IV. Finale. Presto",1,1928,0.0317,85.989,0.346,1928
13,0.99,"['Samuel Barber', 'Vladimir Horowitz']",0.359,338333,0.0435,0,6QgdUySTRGVkNo3KwbHpK3,0.899,7,0.109,-20.858,1,"Piano Sonata in E-Flat Minor, Op. 26: III. Adagio mesto",0,1928,0.0424,96.645,0.042,1928
14,0.992,"['Robert Schumann', 'Vladimir Horowitz']",0.311,167333,0.0107,0,6RvSNoCPBZeTR2LyGvdJOw,0.883,5,0.0954,-35.648,1,"Nachtstücke, Op. 23: No. 4 in F",0,1928,0.0556,78.98,0.216,1928
15,0.977,"['Ludwig van Beethoven', 'Staatskapelle Berlin', 'Richard Strauss']",0.335,276563,0.105,0,6Rwn56jcC0TdGQzbRl7NGw,0.84,5,0.231,-16.049,0,"Symphony No. 5 in C Minor, Op. 67: 3. Allegro",0,1928-01-01,0.0716,80.204,0.406,1928
16,0.991,"['George Butterworth', 'John Cameron']",0.319,184840,0.00593,0,6Sdpmree8xpGWaedACPMlP,6.35E-05,7,0.0691,-25.789,0,A Shropshire Lad: Is My Team Ploughing?,0,1928,0.051,79.831,0.169,1928
17,0.996,"['Alexander Scriabin', 'Vladimir Horowitz']",0.319,326067,0.155,0,6T0mZB7p3qzOifdXZ3Su9P,0.917,4,0.126,-18.728,1,"Sonata No. 3, Op. 23 in F-Sharp Minor: IV. Presto con fuoco; Meno mosso",0,1928,0.036,66.947,0.0488,1928
18,0.994,"['Francisco Canaro', 'Luis Scalon']",0.787,167107,0.156,0,6TFuAErGpJ9FpxQQ1HC8nM,0.659,4,0.11,-14.056,0,Invocación al Tango - Remasterizado,0,1928-09-16,0.157,117.167,0.849,1928
19,0.993,"['Thomas Arne', 'John Heddle Nash']",0.569,122533,0.15,0,6UUfiNT82MWBNnmsE2ZNWf,0.0015,5,0.106,-15.238,1,Where the Bee Sucks,0,1928,0.0474,76.93,0.596,1928
20,0.992,['Francisco Canaro'],0.763,173707,0.132,0,6Ukl7n0q3Cjd0Og8uBmVeP,0.0693,4,0.112,-13.002,1,Tendrás Que Llorar Conmigo - Instrumental (Remasterizado),0,1928-09-17,0.0886,111.679,0.832,1928
21,0.993,"['Moritz Moszkowski', 'Vladimir Horowitz']",0.352,80800,0.132,0,6UxGTlqovmrBV4SKAsoz0A,0.966,8,0.425,-23.202,1,"Etude in A-Flat, Op. 72, No. 11",0,1928,0.0381,74.737,0.661,1928
22,0.99,['Francisco Canaro'],0.833,176000,0.132,0,6VGWQU6XIXshFT288CoLrk,0.000568,1,0.0957,-11.131,1,Quisiste Cachar un Gil - Instrumental (Remasterizado),0,1928-09-20,0.295,121.779,0.568,1928
23,0.975,"['Frédéric Chopin', 'Vladimir Horowitz']",0.277,245440,0.09,0,6VUm7Dg5sufmG01IYcoJE3,0.949,7,0.125,-26.188,1,"Andante spianato in E-Flat Major, Op. 22",0,1928,0.0316,105.031,0.168,1928
24,0.99,['Francisco Canaro'],0.811,169720,0.175,0,6VqUdRHLlFMXmN4plGWSMA,0.841,9,0.13,-13.639,1,La Recova - Instrumental (Remasterizado),0,1928-09-16,0.0712,115.212,0.933,1928
25,0.988,"['Francisco Canaro', 'Charlo']",0.699,166000,0.221,0,6W7iUeL4W0WVIF1BEOCswF,0.0725,11,0.142,-12.228,1,El Espejito - Remasterizado,0,1928-09-20,0.115,117.899,0.782,1928
26,0.988,"['Roger Quilter', 'John Heddle Nash']",0.54,152600,0.102,0,6WBXyRc3ynwvRHiBWudVLo,2.13E-06,4,0.0819,-18.555,1,It Was a Lover and His Lass,0,1928,0.0792,73.516,0.433,1928
